2025-01-21 14:22:53,916 - INFO - Pod: airflow-scheduler-6c87cc4999-cfc9b, CPU: 0.085 cores, Memory: 404.0 MiB
2025-01-21 14:22:53,917 - INFO - Pod: airflow-statsd-769b757665-j79v7, CPU: 0.005 cores, Memory: 19.0 MiB
2025-01-21 14:22:53,917 - INFO - Pod: airflow-triggerer-0, CPU: 0.05 cores, Memory: 369.0 MiB
2025-01-21 14:22:53,918 - INFO - Pod: airflow-webserver-76897578b8-42m5q, CPU: 0.011 cores, Memory: 1654.0 MiB
2025-01-21 14:22:53,918 - INFO - Pod: parquet-transform-dag-v1-transform-parquet-v2-ehkh3q00, CPU: 0.306 cores, Memory: 323.0 MiB
2025-01-21 14:22:58,998 - INFO - Pod: airflow-postgresql-0, CPU: 0.022 cores, Memory: 80.0 MiB
2025-01-21 14:22:58,999 - INFO - Pod: airflow-scheduler-6c87cc4999-cfc9b, CPU: 0.085 cores, Memory: 404.0 MiB
2025-01-21 14:22:58,999 - INFO - Pod: airflow-statsd-769b757665-j79v7, CPU: 0.005 cores, Memory: 19.0 MiB
2025-01-21 14:22:58,999 - INFO - Pod: airflow-triggerer-0, CPU: 0.05 cores, Memory: 369.0 MiB
2025-01-21 14:22:58,999 - INFO - Pod: airflow-webserver-76897578b8-42m5q, CPU: 0.011 cores, Memory: 1654.0 MiB
2025-01-21 14:22:59,000 - INFO - Pod: parquet-transform-dag-v1-transform-parquet-v2-ehkh3q00, CPU: 0.306 cores, Memory: 323.0 MiB
2025-01-21 14:23:04,087 - INFO - Pod: airflow-postgresql-0, CPU: 0.022 cores, Memory: 80.0 MiB
2025-01-21 14:23:04,087 - INFO - Pod: airflow-scheduler-6c87cc4999-cfc9b, CPU: 0.085 cores, Memory: 404.0 MiB
2025-01-21 14:23:04,088 - INFO - Pod: airflow-statsd-769b757665-j79v7, CPU: 0.005 cores, Memory: 19.0 MiB
2025-01-21 14:23:04,089 - INFO - Pod: airflow-triggerer-0, CPU: 0.05 cores, Memory: 369.0 MiB
2025-01-21 14:23:04,089 - INFO - Pod: airflow-webserver-76897578b8-42m5q, CPU: 0.011 cores, Memory: 1654.0 MiB
